episode,total_reward,best_q_reward
1,49.65651559450252,49.65651559450252
2,49.656518107368605,49.656518107368605
3,49.65651826408072,49.65651826408072
4,54.1650389998358,130.73276484012604
5,54.16454798003787,162.1050877571106
6,54.16591715860947,91.21319699287415
7,54.16657925929644,92.62460541725159
8,58.67503915831619,90.19665837287903
9,63.172498013877274,100.22347855567932
10,76.70421930724356,103.22070217132568
11,56.33322388756249,78.17014241218567
12,54.10233738816831,77.50106573104858
13,94.58532307919546,127.99469947814941
14,94.55249993343986,138.74037742614746
15,60.91304936484309,104.8353853225708
16,51.88506367976578,79.05134129524231
17,51.86004316789123,81.54567670822144
18,67.67654521864304,106.99920988082886
19,54.16057929551784,91.27972221374512
20,56.42228760852361,89.95280885696411
21,58.67538009061883,96.85434985160828
22,139.29014935456928,238.70849299430847
23,56.41603236612068,105.61924242973328
24,56.418203294903655,99.53826880455017
25,58.682357546855286,97.90083765983582
26,58.67597906223536,97.93956518173218
27,56.41695481113693,94.5797700881958
28,56.41754011282909,93.26948547363281
29,56.41921915165295,98.01179385185242
30,56.42300815086399,97.43097519874573
31,58.678568407353886,105.82690334320068
32,58.676679404749805,102.93722748756409
33,58.683068847105815,107.25056004524231
34,58.68059113306636,110.05424880981445
35,58.682244726323816,110.74872612953186
36,58.68083064065171,115.16899347305298
37,58.68188798449404,117.8839373588562
38,58.6821957629019,119.02372169494629
39,58.68335365245093,119.91755771636963
40,58.68332212532201,125.24163913726807
41,58.68277663058447,128.48311138153076
42,58.682623408450276,129.0928111076355
43,58.680136726814425,130.82054376602173
44,58.67846050336515,136.1763424873352
45,54.15259537008417,133.45415353775024
46,60.93407467501693,151.46567964553833
47,58.67361972725558,144.0475525856018
48,58.67646335101837,153.15739583969116
49,58.677191766870266,151.44660568237305
50,58.67760542952312,149.13638544082642
51,58.67667436759148,159.7592945098877
52,58.675652267042324,153.75794410705566
53,58.67796201429137,158.13212251663208
54,58.67811230699108,154.55688333511353
55,58.677923221634195,156.7194471359253
56,58.679422487747765,160.68328380584717
57,58.678767222072345,161.73578023910522
58,58.679537385152976,162.28484058380127
59,58.681237926964926,158.33000993728638
60,58.67808796943247,161.1182622909546
61,58.677861097859,163.84802150726318
62,56.414408322648946,157.2543659210205
63,58.67397615417315,168.94141101837158
64,58.67744676667947,162.5290412902832
65,58.67839200580552,164.77551889419556
66,58.67762211942889,167.93847846984863
67,58.678375448890264,166.7976589202881
68,58.67937299630587,167.8603048324585
69,58.67938246510464,171.63208293914795
70,58.67815426261176,171.9858422279358
71,58.68168935527353,180.09425973892212
72,58.67777259824613,177.76749229431152
73,58.68042584035754,179.15342473983765
74,58.681464988207736,176.72329425811768
75,58.67754257403702,178.8275671005249
