time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.727043768293499e-08,1.2038020499919883e-08,10.000819375058196,1.7110002719533668e-05,0.00012020561976378019,0.0,-8.976526503352697e-06,1.1873415780416663e-06,0.027311933951124533,0.0008495341556061646,0.0057363372401122836,0.0,412.3296090040652,412.83593556143956,413.7699285368401,413.8446911438895
0.12000000000000001,-5.0018401809018e-06,1.0492815600621255e-06,10.008939467901788,0.0003342989740726665,0.00014921784510324443,0.0,-0.00018020711135165987,5.678069174287816e-05,0.24333599463074293,0.012942200779150502,-0.012924946772652894,0.0,473.64111404491297,472.20400093251396,471.1821241415736,472.1158265193949
0.18,-1.650515887460659e-05,1.6393317224152823e-05,10.030884647650048,0.000737931426773919,6.282954272394905,0.0,-0.00013496520305902908,0.0005329826122055668,0.4880971564047568,-0.01014553974858904,0.004350611624761586,0.0,480.4473578807826,481.75525592596273,481.24119427295904,479.4906573646507
0.23999999999999996,-2.1553849463397144e-05,5.871357995146901e-05,10.05900804173643,0.00017255053657816433,6.283149333312071,0.0,-5.1977514901276476e-05,0.0008299096319273501,0.44936581159600003,-0.008015763893033025,0.0009556487464385775,0.0,390.05861411220525,389.7414238451786,391.32525416209893,391.52353430416156
0.3,-2.5169012460223787e-05,0.00011093396664377738,10.09863865984485,6.282752652838802,0.0006738877814944644,0.0,-0.00013482502696468446,0.000829998390465602,0.8714312738177272,-0.0145888209215356,0.02764575280803582,0.0,529.3483747317982,531.1814847098638,529.1434656722962,528.6909860496361
0.36000000000000004,-5.662971687516189e-05,0.00014686397748796934,10.156423676675521,6.28170204297966,0.0028146586487132197,0.0,-0.0011349071580829134,0.0002585458368748492,1.0545844023169166,-0.024107491798196535,0.04821748911051414,0.0,463.0723598193598,464.68804919554054,463.1289534370433,462.37984201424575
0.4200000000000001,-0.00019652222017898523,0.00012485511530810936,10.223494466720863,6.280307741412303,0.005579112464433322,0.0,-0.003827765288564191,-0.0011423301477081946,1.1809848375700789,-0.021554600490269967,0.04140207100401042,0.0,446.2863944409275,445.7310615400379,446.5382061196158,446.7463404886695
0.48000000000000015,-0.0005747361973106184,-1.8410346390016505e-05,10.301310232647543,6.280103573852774,0.007791868155970327,0.0,-0.00906556267766335,-0.003706617823337446,1.4126149368411918,0.01911666223293783,0.02581006313493052,0.0,478.5304099415823,477.34267894160195,476.9604982781008,480.0562979556146
0.5400000000000001,-0.0013102022728116462,-0.00030874403098098027,10.39204868743834,6.281014084745445,0.00975722477787766,0.0,-0.015656026885593716,-0.00584868420473102,1.6117395634910532,0.00581895139857126,0.04391412756775526,0.0,467.9986098212191,469.4058282804494,470.2921929678807,469.2610737980125
0.6000000000000002,-0.002453497836693143,-0.0007012900912634016,10.49100684042213,6.280845211613565,0.01226879640566203,0.0,-0.022706008183332255,-0.007215372345502611,1.6867549220068865,-0.032002594566811024,0.03739768322867164,0.0,431.39138273906684,430.8418220312683,433.45553354011884,430.26560489432717
0.6600000000000003,-0.004121169384872029,-0.0011988425522171965,10.598631656154092,6.279153467950156,0.014281031634967967,0.0,-0.03313335113770265,-0.00958227351947128,1.9004047055340612,-0.021501955319882696,0.024413117735937722,0.0,474.29530654187573,473.29746186790834,474.41408053138304,475.2194231038761
0.7200000000000003,-0.006331473813815992,-0.001838906060474449,10.710275787247244,6.278036732531302,0.015428565267756156,0.0,-0.04064619128726132,-0.011844147842888333,1.82119436056504,-0.013382672776634536,0.005602894485077799,0.0,380.1940886081089,378.3876829602483,379.57166145969614,380.35000105524864
0.7800000000000004,-0.00910125327848253,-0.0026626239191891716,10.823234446728529,6.277234930471188,0.016053789184044653,0.0,-0.05172885519982323,-0.01569657606938558,1.9438920925382024,-0.013324786457953514,0.018639227821859977,0.0,446.99639115107874,448.0573110269307,447.04869548068945,447.0535295072907
0.8400000000000004,-0.012551241982804873,-0.0037342184025787417,10.943485333350935,6.276102866321914,0.017407957808323715,0.0,-0.06339824717639428,-0.020119870879022922,2.0642579974626254,-0.03326640761676717,0.029454469115043666,0.0,445.70256661869735,446.585587804503,448.6664002238245,447.0445249010409
0.9000000000000005,-0.016707041769749804,-0.005089231539689713,11.069507204823783,6.273911253508956,0.01941682017841906,0.0,-0.07531189965787087,-0.025250171781569124,2.136333493856663,-0.044007558600075714,0.04051348879388548,0.0,431.9607486340368,432.89276750692,432.3757615518423,431.4692547978165
0.9600000000000005,-0.021626920470372117,-0.006801376092579557,11.200211708074228,6.271041503863152,0.02141185986742844,0.0,-0.0889082244995137,-0.032092789046797174,2.2203156472741488,-0.056842197250131406,0.011911024914023299,0.0,436.96833865130196,434.57794624215114,437.35405265104737,436.282318602554
1.0200000000000005,-0.02739740524400529,-0.008984992909808129,11.335966282129638,6.267311041069984,0.022727037082456825,0.0,-0.10354414179156565,-0.04104514132137887,2.30466249260291,-0.07584059590512247,0.036781031343487036,0.0,435.5990877282578,437.6738450129485,437.71022837715526,436.1233442092987
1.0800000000000005,-0.03410141219991027,-0.011802498646233516,11.477817395382615,6.262883431403967,0.024839493123151257,0.0,-0.12014374944108289,-0.05333749341532311,2.42344874088287,-0.06998703538891052,0.031859625440965114,0.0,449.51375623625916,449.115302431205,446.45630138689114,446.92939915815236
